Incident ID,Year,Month,Country,Region,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive
126,2000,9,Indonesia,,,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,3,0,0,Unknown,Mob violence,Unknown,Political
129,2000,11,Sudan,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
130,2000,12,Guinea,,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Unknown
131,2000,12,Sudan,,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Aerial bombardment,Unknown,Unknown,Incidental
133,2000,12,Burundi,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Ambush,Road,Unknown
135,2000,12,Guinea,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Individual attack,Home,Unknown
134,2000,12,Indonesia,,,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Unknown,Detention,Custody,Political
132,2000,12,Sudan,,,0,1,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Ambush,Road,Unknown
165,2001,,,,,0,0,4,0,0,0,0,2,0,2,0,2,0,2,0,4,0,4,0,0,4,Unknown,Unknown,Unknown,Unknown
137,2001,1,Chechnya,,,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,2,0,0,Kidnapping,Ambush,Road,Political
139,2001,3,Somalia,Banadir,Mogadishu,7,3,0,0,0,0,0,0,1,1,0,0,9,9,0,0,10,10,0,0,10,Kidnapping,Raid,Office/compound,Unknown
140,2001,3,Sudan,North Kordofan,Kiechkuon,0,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0,4,4,0,0,4,Kidnapping,Raid,Project site,Unknown
138,2001,3,DR Congo,Kongo-Central,Kimpese,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Ambush,Road,Unknown
143,2001,4,Kosovo,,,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Aerial bombardment,Unknown,Unknown,Incidental
141,2001,4,Burundi,,,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,1,0,3,Unknown,Ambush,Road,Unknown
144,2001,4,Chechnya,,,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,Shooting,Ambush,Road,Unknown
142,2001,4,DR Congo,Ituri,Bunia (near),0,0,6,0,0,0,4,0,0,4,2,0,0,2,6,0,0,6,4,2,0,Unknown,Ambush,Road,Unknown
146,2001,5,Sudan,,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shelling,Ambush,Road,Unknown
147,2001,5,Cameroon,Centre,Yaounde,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,Bodily assault,Ambush,Road,Unknown
145,2001,5,Madagascar,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Unknown,Unknown
148,2001,5,Burundi,,,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,6,Kidnapping,Unknown,Project site,Unknown
149,2001,6,Burundi,,,0,4,0,0,0,0,1,0,3,4,0,0,0,0,1,0,3,4,0,0,4,Kidnap-killing,Unknown,Unknown,Unknown
150,2001,6,Tajikistan,,,0,15,0,0,0,0,0,0,9,9,0,0,6,6,0,0,15,15,0,0,15,Kidnapping,Unknown,Unknown,Political
153,2001,7,Fiji,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual attack,Home,Unknown
154,2001,7,Angola,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Individual attack,Home,Unknown
151,2001,7,Angola,Huambo (near),,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown
152,2001,7,Central African Republic,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown
155,2001,7,Somalia,Banadir,Mogadishu (near),8,0,0,0,0,0,6,2,0,8,0,0,0,0,6,2,0,8,0,0,8,Shooting,Ambush,Road,Political
156,2001,8,DR Congo,South Kivu,Ruzizi Plain,0,3,0,0,0,0,0,0,2,2,0,0,1,1,0,0,3,3,0,0,3,Kidnapping,Unknown,Unknown,Unknown
157,2001,9,Sudan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Ambush,Unknown,Unknown
158,2001,9,Somalia,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,Unknown
159,2001,9,Angola,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Landmine ,Ambush,Road,Incidental
160,2001,10,Indonesia,Aceh,Bireuen,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Project site,Political
161,2001,11,Burundi,,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Individual attack,Unknown,Unknown
